Today's Date:	12 February 2012	Date of Test:	9 February 2012, 10:53:38 PM
Filename:	MB_U01_MZ22A_4-2-Long-Test	Tester Channel:	18
Procedure:	MB_Z22F_4-1-Long-Test.000	Description:	Z22F Long Test
Comment:	CV=4.2
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.77417	R	0	02/09/2012 10:53:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.77447	R	129	02/09/2012 10:54:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00011	3.77371	D	0	02/09/2012 10:54:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:02:0.0500000007450581	  0d 00:01:0.0500000007450581	0.00001	0.00003	0.00050	3.76814	D	1	02/09/2012 10:55:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	4	  0d 00:03:0.0500000007450581	  0d 00:02:0.0500000007450581	0.00002	0.00006	0.00050	3.76738	D	1	02/09/2012 10:56:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	4	  0d 00:04:0.0500000007450581	  0d 00:03:0.0500000007450581	0.00002	0.00009	0.00050	3.76684	D	1	02/09/2012 10:57:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	4	  0d 00:05:0.0500000007450581	  0d 00:04:0.0500000007450581	0.00003	0.00013	0.00050	3.76646	D	1	02/09/2012 10:58:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	4	  0d 00:06:0.0500000007450581	  0d 00:05:0.0500000007450581	0.00004	0.00016	0.00050	3.76608	D	1	02/09/2012 10:59:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	4	  0d 00:07:0.0500000007450581	  0d 00:06:0.0500000007450581	0.00005	0.00019	0.00050	3.76585	D	1	02/09/2012 11:00:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	4	  0d 00:08:0.0500000007450581	  0d 00:07:0.0500000007450581	0.00006	0.00022	0.00050	3.76539	D	1	02/09/2012 11:01:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	4	  0d 00:09:0.0500000007450581	  0d 00:08:0.0500000007450581	0.00007	0.00025	0.00050	3.76524	D	1	02/09/2012 11:02:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	4	  0d 00:10:0.0500000007450581	  0d 00:09:0.0500000007450581	0.00007	0.00028	0.00050	3.76493	D	1	02/09/2012 11:03:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	4	  0d 00:11:0.0500000007450581	  0d 00:10:0.0500000007450581	0.00008	0.00031	0.00050	3.76463	D	1	02/09/2012 11:04:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	4	  0d 00:12:0.0500000007450581	  0d 00:11:0.0500000007450581	0.00009	0.00035	0.00050	3.76432	D	1	02/09/2012 11:05:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	4	  0d 00:13:0.0500000007450581	  0d 00:12:0.0500000007450581	0.00010	0.00038	0.00050	3.76387	D	1	02/09/2012 11:06:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	4	  0d 00:14:0.0500000007450581	  0d 00:13:0.0500000007450581	0.00011	0.00041	0.00050	3.76371	D	1	02/09/2012 11:07:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	4	  0d 00:15:0.0500000007450581	  0d 00:14:0.0500000007450581	0.00012	0.00044	0.00050	3.76349	D	1	02/09/2012 11:08:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	4	  0d 00:16:0.0500000007450581	  0d 00:15:0.0500000007450581	0.00012	0.00047	0.00050	3.76326	D	1	02/09/2012 11:09:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	4	  0d 00:17:0.0500000007450581	  0d 00:16:0.0500000007450581	0.00013	0.00050	0.00050	3.76287	D	1	02/09/2012 11:10:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	4	  0d 00:18:0.0500000007450581	  0d 00:17:0.0500000007450581	0.00014	0.00053	0.00050	3.76272	D	1	02/09/2012 11:11:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	4	  0d 00:19:0.0500000007450581	  0d 00:18:0.0500000007450581	0.00015	0.00056	0.00050	3.76257	D	1	02/09/2012 11:12:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	4	  0d 00:20:0.0500000007450581	  0d 00:19:0.0500000007450581	0.00016	0.00060	0.00050	3.76234	D	1	02/09/2012 11:13:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	4	  0d 00:21:0.0500000007450581	  0d 00:20:0.0500000007450581	0.00017	0.00063	0.00050	3.76204	D	1	02/09/2012 11:14:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	4	  0d 00:22:0.0500000007450581	  0d 00:21:0.0500000007450581	0.00017	0.00066	0.00050	3.76181	D	1	02/09/2012 11:15:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	4	  0d 00:23:0.0500000007450581	  0d 00:22:0.0500000007450581	0.00018	0.00069	0.00050	3.76150	D	1	02/09/2012 11:16:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	4	  0d 00:24:0.0500000007450581	  0d 00:23:0.0500000007450581	0.00019	0.00072	0.00050	3.76120	D	1	02/09/2012 11:17:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	4	  0d 00:25:0.0500000007450581	  0d 00:24:0.0500000007450581	0.00020	0.00075	0.00050	3.76104	D	1	02/09/2012 11:18:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	4	  0d 00:26:0.0500000007450581	  0d 00:25:0.0500000007450581	0.00021	0.00078	0.00050	3.76089	D	1	02/09/2012 11:19:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	4	  0d 00:27:0.0500000007450581	  0d 00:26:0.0500000007450581	0.00022	0.00082	0.00050	3.76059	D	1	02/09/2012 11:20:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	4	  0d 00:28:0.0500000007450581	  0d 00:27:0.0500000007450581	0.00022	0.00085	0.00050	3.76036	D	1	02/09/2012 11:21:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
31	1	4	  0d 00:29:0.0500000007450581	  0d 00:28:0.0500000007450581	0.00023	0.00088	0.00050	3.76005	D	1	02/09/2012 11:22:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
32	1	4	  0d 00:30:0.0500000007450581	  0d 00:29:0.0500000007450581	0.00024	0.00091	0.00050	3.75990	D	1	02/09/2012 11:23:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
33	1	4	  0d 00:31:0.0500000007450581	  0d 00:30:0.0500000007450581	0.00025	0.00094	0.00050	3.75967	D	1	02/09/2012 11:24:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
34	1	4	  0d 00:32:0.0500000007450581	  0d 00:31:0.0500000007450581	0.00026	0.00097	0.00050	3.75929	D	1	02/09/2012 11:25:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
35	1	4	  0d 00:33:0.0500000007450581	  0d 00:32:0.0500000007450581	0.00027	0.00100	0.00050	3.75914	D	1	02/09/2012 11:26:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
36	1	4	  0d 00:34:0.0500000007450581	  0d 00:33:0.0500000007450581	0.00027	0.00103	0.00050	3.75875	D	1	02/09/2012 11:27:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
37	1	4	  0d 00:35:0.0500000007450581	  0d 00:34:0.0500000007450581	0.00028	0.00107	0.00050	3.75860	D	1	02/09/2012 11:28:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
38	1	4	  0d 00:36:0.0500000007450581	  0d 00:35:0.0500000007450581	0.00029	0.00110	0.00050	3.75837	D	1	02/09/2012 11:29:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
39	1	4	  0d 00:37:0.0500000007450581	  0d 00:36:0.0500000007450581	0.00030	0.00113	0.00050	3.75822	D	1	02/09/2012 11:30:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
40	1	4	  0d 00:38:0.0500000007450581	  0d 00:37:0.0500000007450581	0.00031	0.00116	0.00050	3.75799	D	1	02/09/2012 11:31:38 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
