Today's Date:	23 June 2012	Date of Test:	22 June 2012, 06:02:42 AM
Filename:	MB_U03_MZ02_V430	Tester Channel:	20
Procedure:	MB_Z02_LongTest.000	Description:	MB_SOC and ImpedanceCheck at 4.30V
MB_ImpedanceCheck
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.77249	R	0	06/22/2012 6:02:42 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.75135	R	129	06/22/2012 6:03:42 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0	  0d 00:00:0	0.00000	0.00000	0.00050	3.74815	P	129	06/22/2012 6:03:42 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	5	  0d 00:01:0.0399999991059303	  0d 00:00:0.0399999991059303	0.00000	0.00000	0.00050	3.74792	D	0	06/22/2012 6:03:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:02:0.0399999991059303	  0d 00:01:0.0399999991059303	0.00001	0.00003	0.00050	3.74456	D	1	06/22/2012 6:04:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:03:0.0399999991059303	  0d 00:02:0.0399999991059303	0.00002	0.00006	0.00050	3.74380	D	1	06/22/2012 6:05:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:04:0.0399999991059303	  0d 00:03:0.0399999991059303	0.00003	0.00009	0.00050	3.74334	D	1	06/22/2012 6:06:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:05:0.0399999991059303	  0d 00:04:0.0399999991059303	0.00003	0.00012	0.00050	3.74319	D	1	06/22/2012 6:07:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:06:0.0399999991059303	  0d 00:05:0.0399999991059303	0.00004	0.00016	0.00050	3.74289	D	1	06/22/2012 6:08:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:07:0.0399999991059303	  0d 00:06:0.0399999991059303	0.00005	0.00019	0.00050	3.74266	D	1	06/22/2012 6:09:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:08:0.0399999991059303	  0d 00:07:0.0399999991059303	0.00006	0.00022	0.00050	3.74220	D	1	06/22/2012 6:10:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:09:0.0399999991059303	  0d 00:08:0.0399999991059303	0.00007	0.00025	0.00050	3.74189	D	1	06/22/2012 6:11:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	5	  0d 00:10:0.0399999991059303	  0d 00:09:0.0399999991059303	0.00008	0.00028	0.00050	3.74151	D	1	06/22/2012 6:12:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	5	  0d 00:11:0.0399999991059303	  0d 00:10:0.0399999991059303	0.00008	0.00031	0.00050	3.74128	D	1	06/22/2012 6:13:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	5	  0d 00:12:0.0399999991059303	  0d 00:11:0.0399999991059303	0.00009	0.00034	0.00050	3.74121	D	1	06/22/2012 6:14:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	5	  0d 00:13:0.0399999991059303	  0d 00:12:0.0399999991059303	0.00010	0.00037	0.00050	3.74090	D	1	06/22/2012 6:15:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	5	  0d 00:14:0.0399999991059303	  0d 00:13:0.0399999991059303	0.00011	0.00041	0.00050	3.74075	D	1	06/22/2012 6:16:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	5	  0d 00:15:0.0399999991059303	  0d 00:14:0.0399999991059303	0.00012	0.00044	0.00050	3.74052	D	1	06/22/2012 6:17:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	5	  0d 00:16:0.0399999991059303	  0d 00:15:0.0399999991059303	0.00013	0.00047	0.00050	3.74022	D	1	06/22/2012 6:18:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	5	  0d 00:17:0.0399999991059303	  0d 00:16:0.0399999991059303	0.00013	0.00050	0.00050	3.73991	D	1	06/22/2012 6:19:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	5	  0d 00:18:0.0399999991059303	  0d 00:17:0.0399999991059303	0.00014	0.00053	0.00050	3.73960	D	1	06/22/2012 6:20:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	5	  0d 00:19:0.0399999991059303	  0d 00:18:0.0399999991059303	0.00015	0.00056	0.00050	3.73938	D	1	06/22/2012 6:21:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	5	  0d 00:20:0.0399999991059303	  0d 00:19:0.0399999991059303	0.00016	0.00059	0.00050	3.73899	D	1	06/22/2012 6:22:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	5	  0d 00:21:0.0399999991059303	  0d 00:20:0.0399999991059303	0.00017	0.00062	0.00050	3.73884	D	1	06/22/2012 6:23:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	5	  0d 00:22:0.0399999991059303	  0d 00:21:0.0399999991059303	0.00018	0.00065	0.00050	3.73854	D	1	06/22/2012 6:24:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	5	  0d 00:23:0.0399999991059303	  0d 00:22:0.0399999991059303	0.00018	0.00069	0.00050	3.73831	D	1	06/22/2012 6:25:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	5	  0d 00:24:0.0399999991059303	  0d 00:23:0.0399999991059303	0.00019	0.00072	0.00050	3.73808	D	1	06/22/2012 6:26:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	5	  0d 00:25:0.0399999991059303	  0d 00:24:0.0399999991059303	0.00020	0.00075	0.00050	3.73785	D	1	06/22/2012 6:27:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	5	  0d 00:26:0.0399999991059303	  0d 00:25:0.0399999991059303	0.00021	0.00078	0.00050	3.73754	D	1	06/22/2012 6:28:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	5	  0d 00:27:0.0399999991059303	  0d 00:26:0.0399999991059303	0.00022	0.00081	0.00050	3.73724	D	1	06/22/2012 6:29:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
31	1	5	  0d 00:28:0.0399999991059303	  0d 00:27:0.0399999991059303	0.00023	0.00084	0.00050	3.73693	D	1	06/22/2012 6:30:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
32	1	5	  0d 00:29:0.0399999991059303	  0d 00:28:0.0399999991059303	0.00023	0.00087	0.00050	3.73671	D	1	06/22/2012 6:31:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
33	1	5	  0d 00:30:0.0399999991059303	  0d 00:29:0.0399999991059303	0.00024	0.00090	0.00050	3.73640	D	1	06/22/2012 6:32:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
34	1	5	  0d 00:31:0.0399999991059303	  0d 00:30:0.0399999991059303	0.00025	0.00094	0.00050	3.73610	D	1	06/22/2012 6:33:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
35	1	5	  0d 00:32:0.0399999991059303	  0d 00:31:0.0399999991059303	0.00026	0.00097	0.00050	3.73594	D	1	06/22/2012 6:34:43 AM	1.26938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
